Pos,City,NWSL Team,MLS Team,NWSL Pld,MLS Pld,NWSL Points,MLS Points,Points,Pts/Pld
1,"Portland, OR",Portland Thorns FC,Portland Timbers,20,34,41,44,85,1.6
1,"Washington, DC",Washington Spirit,D.C. United,20,34,39,46,85,1.6
3,"Harrison, NJ",Sky Blue FC,New York Red Bulls,20,34,26,57,83,1.5
4,"Seattle, WA",Seattle Reign FC,Seattle Sounders FC,20,34,30,48,78,1.4
5,"Kansas City, MO/KS",FC Kansas City,Sporting Kansas City,20,34,26,47,73,1.4
6,"Chicago, IL",Chicago Red Stars,Chicago Fire,20,34,33,31,64,1.2
7,"Dallas, TX",--,FC Dallas,0,34,0,60,60,1.8
7,"Orlando, FL",Orlando Pride,Orlando City SC,20,34,19,41,60,1.1
9,"Denver, CO",--,Colorado Rapids,0,34,0,58,58,1.7
10,"Houston, TX",Houston Dash,Houston Dynamo,20,34,22,34,56,1.0
11,"New York, NY",--,New York City FC,0,34,0,54,54,1.6
12,"Boston, MA",Boston Breakers,New England Revolution,20,34,11,42,53,1.0
12,"Toronto, ON",--,Toronto FC,0,34,0,53,53,1.6
14,"Carson, CA",--,LA Galaxy,0,34,0,52,52,1.5
15,"Salt Lake City, UT",--,Real Salt Lake,0,34,0,46,46,1.4
16,"Montreal, QC",--,Montreal Impact,0,34,0,45,45,1.3
17,"Philadelphia, PA",--,Philadelphia Union,0,34,0,42,42,1.2
18,"Vancouver, BC",--,Vancouver Whitecaps FC,0,34,0,39,39,1.1
19,"San Jose, CA",--,San Jose Earthquakes,0,34,0,38,38,1.1
20,"Columbus, OH",--,Columbus Crew SC,0,34,0,36,36,1.1
21,"Elma, NY",Western New York Flash,--,20,0,32,0,32,1.6
