Pos,City,NWSL Team,MLS Team,NWSL Pld,MLS Pld,NWSL Points,MLS Points,Points,Pts/Pld
1,"Seattle, WA",Reign FC,Seattle Sounders FC,24,34,38,56,94,1.6
2,"Portland, OR",Portland Thorns FC,Portland Timbers,24,34,40,49,89,1.5
3,"Salt Lake City, UT",Utah Royals FC,Real Salt Lake,24,34,34,53,87,1.5
4,"Chicago, IL",Chicago Red Stars,Chicago Fire,24,34,44,42,86,1.5
5,"Washington, DC",Washington Spirit,D.C. United,24,34,34,50,84,1.4
6,"Los Angeles, CA",--,Los Angeles FC,0,34,0,72,72,2.1
7,"Harrison, NJ",Sky Blue FC,New York Red Bulls,24,34,20,48,68,1.2
8,"Houston, TX",Houston Dash,Houston Dynamo,24,34,26,40,66,1.1
9,"New York, NY",--,New York City FC,0,34,0,64,64,1.9
10,"Atlanta, GA",--,Atlanta United FC,0,34,0,58,58,1.7
11,"Philadelphia, PA",--,Philadelphia Union,0,34,0,55,55,1.6
12,"Milwaukee, MN",--,Minnesota United FC,0,34,0,53,53,1.6
12,"Orlando, FL",Orlando Pride,Orlando City SC,24,34,16,37,53,0.9
14,"Carson, CA",--,LA Galaxy,0,34,0,51,51,1.5
15,"Toronto, ON",--,Toronto FC,0,34,0,50,50,1.5
16,"Raleigh, NC",North Carolina Courage,--,24,0,49,0,49,2.0
17,"Dallas, TX",--,FC Dallas,0,34,0,48,48,1.4
18,"Boston, MA",--,New England Revolution,0,34,0,45,45,1.3
19,"San Jose, CA",--,San Jose Earthquakes,0,34,0,44,44,1.3
20,"Denver, CO",--,Colorado Rapids,0,34,0,42,42,1.2
21,"Montreal, QC",--,Montreal Impact,0,34,0,41,41,1.2
22,"Columbus, OH",--,Columbus Crew SC,0,34,0,38,38,1.1
22,"Kansas City, MO/KS",--,Sporting Kansas City,0,34,0,38,38,1.1
24,"Vancouver, BC",--,Vancouver Whitecaps FC,0,34,0,34,34,1.0
25,"Cincinnati, OH",--,FC Cincinnati,0,34,0,24,24,0.7
