Pos,City,NWSL Team,MLS Team,NWSL Pld,MLS Pld,NWSL Points,MLS Points,Points,Pts/Pld
1,"Seattle, WA",Seattle Reign FC,Seattle Sounders FC,20,34,43,51,94,1.7
2,"Kansas City, MO/KS",FC Kansas City,Sporting Kansas City,20,34,32,51,83,1.5
3,"Harrison, NJ",Sky Blue FC,New York Red Bulls,20,34,22,60,82,1.5
4,"Washington, DC",Washington Spirit,D.C. United,20,34,30,51,81,1.5
5,"Portland, OR",Portland Thorns FC,Portland Timbers,20,34,23,53,76,1.4
6,"Houston, TX",Houston Dash,Houston Dynamo,20,34,24,42,66,1.2
7,"Boston, MA",Boston Breakers,New England Revolution,20,34,15,50,65,1.2
8,"Chicago, IL",Chicago Red Stars,Chicago Fire,20,34,33,30,63,1.2
9,"Dallas, TX",--,FC Dallas,0,34,0,60,60,1.8
10,"Columbus, OH",--,Columbus Crew,0,34,0,53,53,1.6
10,"Vancouver, BC",--,Vancouver Whitecaps FC,0,34,0,53,53,1.6
12,"Carson, CA",--,LA Galaxy,0,34,0,51,51,1.5
12,"Montreal, QC",--,Montreal Impact,0,34,0,51,51,1.5
14,"Toronto, ON",--,Toronto FC,0,34,0,49,49,1.4
15,"San Jose, CA",--,San Jose Earthquakes,0,34,0,47,47,1.4
16,"Orlando, FL",--,Orlando City SC,0,34,0,44,44,1.3
17,"Salt Lake City, UT",--,Real Salt Lake,0,34,0,41,41,1.2
18,"Denver, CO",--,Colorado Rapids,0,34,0,37,37,1.1
18,"New York, NY",--,New York City FC,0,34,0,37,37,1.1
18,"Philadelphia, PA",--,Philadelphia Union,0,34,0,37,37,1.1
21,"Elma, NY",Western New York Flash,--,20,0,23,0,23,1.2
