Pos,City,NWSL Team,MLS Team,NWSL Pld,MLS Pld,NWSL Points,MLS Points,Points,Pts/Pld
1,"Kansas City, MO/KS",FC Kansas City,Sporting Kansas City,22,34,38,58,96,1.7
2,"Harrison, NJ",Sky Blue FC,New York Red Bulls,22,34,36,59,95,1.7
2,"Portland, OR",Portland Thorns FC,Portland Timbers,22,34,38,57,95,1.7
4,"Boston, MA",Boston Breakers,New England Revolution,22,34,30,51,81,1.4
5,"Chicago, IL",Chicago Red Stars,Chicago Fire,22,34,30,49,79,1.4
6,"Seattle, WA",Seattle Reign FC,Seattle Sounders FC,22,34,18,52,70,1.3
7,"Salt Lake City, UT",--,Real Salt Lake,0,34,0,56,56,1.6
8,"Carson, CA",--,LA Galaxy,0,34,0,53,53,1.6
9,"Denver, CO",--,Colorado Rapids,0,34,0,51,51,1.5
9,"Houston, TX",--,Houston Dynamo,0,34,0,51,51,1.5
9,"San Jose, CA",--,San Jose Earthquakes,0,34,0,51,51,1.5
12,"Montreal, QC",--,Montreal Impact,0,34,0,49,49,1.4
13,"Vancouver, BC",--,Vancouver Whitecaps FC,0,34,0,48,48,1.4
14,"Philadelphia, PA",--,Philadelphia Union,0,34,0,46,46,1.4
15,"Dallas, TX",--,FC Dallas,0,34,0,44,44,1.3
16,"Columbus, OH",--,Columbus Crew,0,34,0,41,41,1.2
17,"Elma, NY",Western New York Flash,--,22,0,38,0,38,1.7
18,"Washington, DC",Washington Spirit,D.C. United,22,34,14,16,30,0.5
19,"Toronto, ON",--,Toronto FC,0,34,0,29,29,0.9
20,"Los Angeles, CA",--,Chivas USA,0,34,0,26,26,0.8
